"company","subject","description","status","priority","category","contact","assignedTo","tasksPerformed","pcName","serialNumber","pendingTasks","equipmentTaken","hours","createdAt","resolvedAt"
"ITFIN","Test ticket","","CLOSED","NORMAL","OTHER","H Arbaj","Voorganger","","","","","","","2024-03-25","2024-03-25"
"ITFIN","Test 2","","CLOSED","NORMAL","OTHER","H Arbaj","Voorganger","","","","","","","2024-03-25","2024-03-26"
"ITFIN","Test storing","","CLOSED","NORMAL","OTHER","H Arbaj","Voorganger","","","","","","","2024-03-25","2024-03-25"
"ZVOS","storing geen internet","","CLOSED","NORMAL","NETWORK","M Tesaguaguin","Voorganger","","","","","","","2024-03-26","2024-03-26"
"ZVOS","test","TEST","CLOSED","LOW","OTHER","F Tesaguaguin","Voorganger","","","","","","","2024-03-26","2024-03-26"
"ITFIN","Test case : Geen internet","","CLOSED","NORMAL","NETWORK","Administratie","Voorganger","","","","","","","2024-03-26","2024-03-26"
"ZVOS","Graag antwoordapparaat instellen voor Administratie en HR","Vrijdag Administratie
Woensdag HR","CLOSED","HIGH","SOFTWARE","S Tesaguaguin","Voorganger","","","","","","","2024-03-26","2024-04-05"
"ZVOS","Openingstijden Fellowzoeg","Administratie : 09:00 - 17:00
Ma- Do
Email adres vermelden bij antwoordapparaat bericht.
HR: 10:00 - 18:00
Exclusief woensdag
Planning : 10:00 -18:30
Overige vragen en trainingen 
09:00 - 17:00 
Ma- Do : Doorzetten naar Faysal","CLOSED","NORMAL","OTHER","S Tesaguaguin","Voorganger","","","","","","","2024-03-26","2025-10-18"
"ZVOS","Fellowzorg thuis nummer zichtbaar maken na doorschakelen.","Als ik nu wordt gebeld op mijn mobiel zie ik niet wie er belt (Thuiszorg of Fellow). Graag bij doorschakelen het bedrijf zichtbaar maken.","CLOSED","NORMAL","OTHER","S Tesaguaguin","Voorganger","","","","","","","2024-03-26","2024-03-26"
"ZVOS","Verkort kiezen met Hipper app werkt niet.","Je krijgt de melding dat het nummer niet beschikbaar is.","CLOSED","NORMAL","SOFTWARE","S Tesaguaguin","Voorganger","","","","","","","2024-03-26","2024-03-26"
"CODENAMEFUTURE","Test","Hoi Hassan,
Werkt dit?
Groet,
Martijn","CLOSED","NORMAL","OTHER","Martijn","Voorganger","","","","","","","2024-03-27","2024-03-27"
"ZVOS","Uitbellen via Hipper","Als ik via mijn eigen telefoon vanuit Hipper naar interne collega's wil bellen, geeft de telefoon aan dat het nummer niet in gebruik is.  Als ik bel belt mijn telefoon niet naar een 06-nummer, maar naar het verkorte nummer (bijvoorbeeld 0200).","CLOSED","HIGH","OTHER","F Tesaguaguin","Voorganger","","","","","","","2024-03-28","2024-04-02"
"ZVOS","Getoond nummer bij uitbellen","Als ik uitbel wordt niet het 085-nummer getoond, maar mijn privénummer. Ondanks het feit dat ik de optie ""Uitgaand vast nummer 085......."" aanklik.","CLOSED","HIGH","OTHER","F Tesaguaguin","Voorganger","","","","","","","2024-03-28","2024-04-04"
"ZVOS","ZOHO account aanmaken","Graag link voor account ZohoDesk aanmaken voor Marouane. Hij heeft deze nog niet ontvangen.
Heeft iedereen binnen Fellow zorg de link al ontvangen?","CLOSED","HIGH","ACCOUNT","S Tesaguaguin","Voorganger","","","","","","","2024-03-28","2024-03-29"
"ZVOS","Openingstijden Administratie","De voicemail voor Administratie is nog niet ingesteld, we worden nog steeds gebeld vandaag (vrijdag is Administratie gesloten). Graag deze nog instellen","CLOSED","HIGH","OTHER","F Tesaguaguin","Voorganger","","","","","","","2024-03-29","2024-04-05"
"ZVOS","Kan geen IT verzoeken indienen","","CLOSED","NORMAL","OTHER","M Tesaguaguin","Voorganger","","","","","","","2024-03-29","2024-04-02"
"ITFIN","Openstaande rekeningen","Ousamma : 715
Sarti :
2 * PlayStation 
1* iPhone 14
1* hp laptop
1* Dell laptop ( beschadigd)
1* Dell laptop
iPhone dochters 
Inkt","WAITING","NORMAL","OTHER","H Arbaj","Voorganger","","","","","","","2024-04-02",""
"HZB","Problemen met teams","","CLOSED","NORMAL","ACCOUNT","Aloswijk","Voorganger","","","","","","","2024-04-03","2024-04-16"
"CODENAMEFUTURE","Acrobat Pro gebruiken voor de marcomlaptop/redactie","Van:
 Tamara Ackermans  
Verzonden:
 dinsdag 12 maart 2024 16:32
Aan:
 Hassan Arbaj 
CC:
 Laura Wiegant 
Onderwerp:
 Acrobat Pro gebruiken voor de marcomlaptop/redactie
Ha Hassan,
Weer een 'gedoetje' met Adobe
account.
Op mijn mac werkt alles ok en heb
ik ook de Adobe Pro versie.
Maar blijkbaar op de windows
machine, waar ook met mijn account wordt ingelogd- euvel nog niet verholpen met
ander account??? - staat deze er niet bij.
Wil jij nog een keer kijken naar
Adobe en het gebruik.
Liefste met ","CLOSED","HIGH","HARDWARE","Martijn","Voorganger","","","","","","","2024-04-04","2024-04-19"
"LAGELANDENZORG","Soufian Saddouki beveiligde zorgmail willen toevoegen?","Als het nodig is dat je hem moet bereiken dan is dit zijn telefoonnummer: 0643797180. Hij is op de hoogte","CLOSED","NORMAL","ACCOUNT","S Saddouki","Voorganger","","","","","","","2024-04-04","2025-10-20"
"ZVOS","Hipper","Salaam,
Alle binnenkomende telefoontjes van HR komen bij de planning binnen of komt terecht bij Younes. Beide is niet de bedoeling. graag zsm oppakken.","CLOSED","HIGH","OTHER","M Steinmetz","Voorganger","","","","","","","2024-04-04","2025-10-20"
"CODENAMEFUTURE","Website Youtube filmpjes","Van:
 Seliena Conep
Verzonden:
 donderdag 4 april 2024 16:34
Aan:
 Helpdesk | ITFIN 
CC:
 Martijn Spekman ; Aart Hageman
; Tamara Ackermans
; Yura van Winden 
Onderwerp:
 Updates website
Hoi Hassan, 
Ik nam een kijkje op
onze website en zag dat geen enkele Youtube video van ons
zichtbaar is. 
Ook krijgen we soms bij het invullen van formulieren een foutmelding. 
Tevens zie ik in het
dashboard dat er 21 update-meldingen en 14 plug-in-meldingen nog in
afwachting staan. Zou jij dit op korte termijn","CLOSED","HIGH","SOFTWARE","Martijn","Voorganger","","","","","","","2024-04-05","2024-07-24"
"ZVOS","Openingstijden Administratie","Administratie is geopend van maandag t/m donderdag, in de voicemail wordt gezegd dat Admin is geopend op maandag, dinsdag en donderdag. kan je dit aanpassen?","CLOSED","HIGH","OTHER","F Tesaguaguin","Voorganger","","","","","","","2024-04-05","2024-04-05"
"CODENAMEFUTURE","Connectie met Exchange is vertraagd","Hoi Hassan,
Wij merken op kantoor dat de verbinding met Exchange vertraagd is. Mailtjes komen niet direct binnen, gegevens van Tribe worden niet opgehaald. 
Wat kan de oorzaak zijn?
Groet,
Martijn","CLOSED","NORMAL","OTHER","Martijn","Voorganger","","","","","","","2024-04-05","2024-04-16"
"ZVOS","Ondersteuning","","CLOSED","NORMAL","OTHER","H Bakkali","Voorganger","","","","","","","2024-04-06","2024-04-06"
"WEBMOLEN","Remote","","CLOSED","NORMAL","OTHER","Info","Voorganger","","","","","","","2024-04-06","2024-04-23"
"SAMEN100CARE","Contributie","","CLOSED","NORMAL","OTHER","Mettaouil","Voorganger","","","","","","","2024-04-07","2024-04-08"
"TELT","VPN","","CLOSED","NORMAL","NETWORK","Fernando","Voorganger","","","","","","","2024-04-08","2024-04-08"
"BVZ","Hosting BVZ verhuizen webmolen naar ITFIN>","","WAITING","LOW","OTHER","Selma Akatal","Voorganger","","","","","","","2024-04-09",""
"CODENAMEFUTURE","Zoeken e-mails duurt lang","Hoi Hassan,
Wanneer wij bij de verzonden items op een mail zoeken, dan duurt het lang voordat we een resultaat krijgen. Vaak krijgen we ook de melding dat er niets gevonden kan worden op de server. Ook hier lijkt de koppeling met de exchange server niet goed te zijn.
Wat kan dit zijn?
Groet,
Martijn","CLOSED","LOW","ACCOUNT","Martijn","Voorganger","","","","","","","2024-04-12","2024-04-16"
"ITFIN","FW: IT verzoek - afsluiten account van EXIT medewerker.","","CLOSED","NORMAL","ACCOUNT","Helpdesk","Voorganger","","","","","","","2024-04-12","2024-04-16"
"CODENAMEFUTURE","Accounts nieuwe stagiairs","Hoi Hassan,
Zou jij accounts willen aanmaken voor 3 nieuwe stagiairs die volgende week bij ons gaan starten? Het gaat om:
- Fleur Kappert
- Tristan van der Hoeven
- Kouboura Sonni
Na deze week stoppen Hano en Nathan. Zou jij hun accounts dan kunnen deactiveren? 
Dank.
Groet,
Martijn","CLOSED","NORMAL","ACCOUNT","Martijn","Voorganger","","","","","","","2024-04-15","2024-04-22"
"ITFIN","FW: IT Verzoek -  Nieuwe medewerker Marabes.","","CLOSED","NORMAL","OTHER","Helpdesk","Voorganger","","","","","","","2024-04-15","2024-04-19"
"HZB","One drive isseus","","CLOSED","NORMAL","OTHER","Aloswijk","Voorganger","","","","","","","2024-04-16","2024-04-17"
"ZVOS","Instellen laptop","Eigen laptop koppelen aan Office 365","CLOSED","NORMAL","HARDWARE","F Tesaguaguin","Voorganger","","","","","","","2024-04-16","2024-04-30"
"ITFIN","Plattegrond Het Zorg Kompas","","WAITING","NORMAL","OTHER","Arbaj001","Voorganger","","","","","","","2024-04-16",""
"CODENAMEFUTURE","Outlook loopt meerdere malen vast bij Govert sinds gisteren","Ha Hassan,
Outlook loopt meerdere malen vast bij Govert sinds gisteren. Goed om misschien even mee te kijken? 
Gisteren was dit ontstaan nadat jij de cache-instellingen had aangepast.
Groet,
Martijn","CLOSED","HIGH","ACCOUNT","Martijn","Voorganger","","","","","","","2024-04-17","2024-04-22"
"ITFIN","FW: IT verzoek - afsluiten account van EXIT medewerker.","","CLOSED","NORMAL","ACCOUNT","Helpdesk","Voorganger","","","","","","","2024-04-19","2024-04-19"
"ITFIN","FW: IT Verzoek -  Toegang aanvragen voor mailbox facturen@muntmasters.com","","CLOSED","NORMAL","ACCOUNT","Helpdesk","Voorganger","","","","","","","2024-04-19","2024-04-19"
"ITFIN","FW: Nieuwe email-adres Convey","","CLOSED","NORMAL","ACCOUNT","H Arbaj","Voorganger","","","","","","","2024-04-22","2024-04-22"
"ITFIN","FW: IT Verzoek - Nieuwe medewerker Marabes.","","CLOSED","NORMAL","OTHER","Helpdesk","Voorganger","","","","","","","2024-04-23","2024-04-23"
"ITFIN","FW: IT Verzoek -  Account heractiveren medewerker MUNT","","CLOSED","NORMAL","ACCOUNT","Helpdesk","Voorganger","","","","","","","2024-04-23","2024-04-23"
"CODENAMEFUTURE","Foutmelding serververbinding","Hoi Hassan,
Zojuist probeer ik een mail te versturen, maar krijg ik deze melding. Ik heb op verzenden en ontvangen geklikt maar dat helpt niet. Mijn internetverbinding is verder goed. Ik heb het idee dat dit dus hoort bij de eerdere problemen van mij (en wellicht ook Govert) dat die verbinding regelmatig wegvalt.","CLOSED","HIGH","OTHER","Martijn","Voorganger","","","","","","","2024-04-23","2024-07-08"
"HZB","Scherm doet het niet","","CLOSED","NORMAL","HARDWARE","Soumoussa","Voorganger","","","","","","","2024-04-25","2024-04-30"
"HZB","Beeldscherm doet het niet","","CLOSED","NORMAL","HARDWARE","Soumoussa","Voorganger","","","","","","","2024-04-25","2024-04-30"
"CODENAMEFUTURE","Uploaden bestanden  Aart","Ha Hassan,
Aart geeft aan dat hij de mappenstructuur nu ziet, daar heb je hem goed bij geholpen. alleen wanneer hij bestanden wil opslaan, dan ziet hij deze mappen (Sharepoint) niet. Kun jij dit voor hem oplossen?
Alvast dank.
Hartelijke groet,
Martijn","CLOSED","NORMAL","OTHER","Martijn","Voorganger","","","","","","","2024-04-25","2024-05-07"
"CODENAMEFUTURE","Website","Dag
Hasan,
We
willen gaan starten met het maken van een nieuwe website. Denk dat het
handigste is dat we dat op de huidige server gaan doen, ook ivm migratie en
behoud van domein/emailadressen en jouw service.
Zou je
daarom 
https://testsite.codenamefuture.nl
willen aanmaken? 
En daar
Wordpress op willen installeren? Met laatste versie PHP/Java etc. 
En mij
daar de toegang van geven via een wp-admin?
En ook
voor Yura een toegang willen geven? Dan zien we in de backlogs nl wie wat heeft
gedaan.
W","CLOSED","NORMAL","SOFTWARE","Martijn","Voorganger","","","","","","","2024-04-25","2024-05-01"
"TELT","Altum","","CLOSED","NORMAL","OTHER","Fernanda","Voorganger","","","","","","","2024-04-26","2024-04-30"
"CODENAMEFUTURE","Redactiemailbox","Hoi Hassan,
Kun jij de redactiemailbox ook aan het account van Suze koppelen?
Dank!
Hartelijke groet,
Martijn","CLOSED","NORMAL","ACCOUNT","Martijn","Voorganger","","","","","","","2024-04-29","2024-04-30"
"MUNTMASTERS","FW: IT Verzoek - Nieuwe medewerker Marabes.","","CLOSED","NORMAL","OTHER","O Ryani","Voorganger","","","","","","","2024-04-30","2024-04-30"
"ITFIN","test","","CLOSED","NORMAL","OTHER","H Arbaj","Voorganger","","","","","","","2024-04-30","2024-04-30"
"ITFIN","test","","CLOSED","NORMAL","OTHER","H Arbaj","Voorganger","","","","","","","2024-04-30","2024-04-30"
"MUNTMASTERS","Acccount aanmaken","Ik wil graag een verzoek
     indienen om een account aan te maken en toegang te geven tot map
     25.Workspace MM voor nieuwe medewerker bij Marabes.
             1. Oumaima EL Haraak
     Graag de naamweergave in outlook het zelfde aanhouden als naam
     e-mailadres, dus;
EK.Oumaima@muntmasters.com
 = Ek.
Oumaima
IT – REQUEST FORM
Aanvraag nieuwe medewerker
Ja
Aanvraag
  bestaande medewerker
Nee
Aanmaken nieuw account
Ja
Mutatie
  toegang bestaande account
Nee
Afsluiten bestaande account
Nee","CLOSED","HIGH","OTHER","O Ryani","Voorganger","","","","","","","2024-04-30","2024-04-30"
"ELMAR","Kyser","","CLOSED","NORMAL","OTHER","P Mckee","Voorganger","","","","","","","2024-04-30","2024-04-30"
"ITFIN","FW: account aanmaken medewerker","","CLOSED","NORMAL","ACCOUNT","Helpdesk","Voorganger","","","","","","","2024-05-01","2024-05-01"
"MUNTMASTERS","Ticket","Beste Hassan, Kun je wij uitleg van krijgen van hoe dit ticketsysteem werkt?","CLOSED","NORMAL","OTHER","Abdelhak","Voorganger","","","","","","","2024-05-01","2024-05-01"
