"date","company","hours","description"
"01-07-2025","ALTUM","1.0","Pc instellen en SSD vervangen overbuurman"
"01-10-2025","ALTUM","2.5","contact mailbox gefixt zodat ze mails binnen krijgen en recaptcha op website formulier gezet"
"02-07-2025","ALTUM","0.5","Paul problemen met Onedrive"
"04-06-2025","ALTUM","1.0","AutoCad bij Paul werkte niet"
"04-12-2025","ALTUM","1.0","laptop klaargemaakt Han"
"06-11-2025","ALTUM","1.0","Synchronisatie fout OneDrive verholpen"
"08-07-2025","ALTUM","2.5","Database script schrijven voor aanpassen Rubriek 1605 / 1,5 One drive oude mappen synchronisatie uitgeschakeld"
"13-05-2025","ALTUM","3.5","Website"
"14-05-2025","ALTUM","4.5","Website"
"15-04-2025","ALTUM","2.0","gewerkt aan website"
"15-12-2025","ALTUM","1.0","export Syntess controle"
"16-07-2025","ALTUM","1.5","hosting errors doorlopen voor fout contactformulier"
"16-10-2025","ALTUM","2.0","laptop ingesteld voor parsa en geholpen met alles instellen"
"17-07-2025","ALTUM","1.5","Website vacatures afronden"
"22-04-2025","ALTUM","3.0","Website"
"22-10-2025","ALTUM","0.5","Parsa office activeren"
"23-06-2025","ALTUM","2.0","Nieuwe Organogram maken en in Footer website gezet"
"24-03-2025","ALTUM","1.0","nieuwe collega erwin"
"26-06-2025","ALTUM","0.5","Jolanda meeting met yassin"
"30-07-2025","ALTUM","1.0","Laptop ingesteld Nike"
"01-04-2025","BVZ","4.0","Sloten vervangen centrum Amersfoort"
"02-12-2025","BVZ","0.25","Hamid gescande items kwijt"
"03-07-2025","BVZ","1.5","Spullen brengen SevenSeas 1 Zorg instelling centrum amersfoort Lampen deden het niet"
"08-04-2025","BVZ","2.0","Kast in elkaar gezet centrum"
"11-06-2025","BVZ","0.5","LageLanden Zorg met abdel meegekeken voor een macbook/ 1,5 Zorginstelling centrum amersfoort slot vervangen / 1 Inkopen gedaan bij de imac voor een applewatch band"
"15-09-2025","BVZ","6.0","Internet Kabel getrokken Tawheed, camera ingesteld, Stream ingesteld / Wifi snelheid gecheckt bij de zorg instelling centrum / 0.5 Langs El Fath gezocht naar receiver en sender"
"21-01-2025","BVZ","1.0","Tafel in elkaar gezegd centrum"
"25-11-2025","BVZ","1.0","Laptop werkte niet hub drivers geupdate & office 2FA gereset"
"31-03-2025","BVZ","6.0","Sloten vervangen centrum amersfoort"
"05-03-2025","CODENAMEFUTURE","1.0","Dervin CodenameFuture stagair geholpen met account"
"15-12-2025","CODENAMEFUTURE","2.0","CNF oude webshop"
"16-04-2025","CODENAMEFUTURE","3.0","CNF problemen met teacher portal"
"18-02-2025","CODENAMEFUTURE","4.5","Lily geholpen van CodenameFuture, Server problemen opgelost, CodenameFuture, Kabels gekocht apeldoorn"
"22-01-2025","CODENAMEFUTURE","8.0","codenamefuture 502 error"
"22-10-2025","CODENAMEFUTURE","2.0","Tamara gesproken CNF voor webshop export 0.5 / Gerrit Rajathuiszorg email en printer werken niet 1.5"
"23-04-2025","CODENAMEFUTURE","4.0","CNF probleem opgelost"
"25-03-2025","CODENAMEFUTURE","2.5","den haag geweest CNF internet problemen"
"04-02-2025","DIRECTWERK","1.0","DirectWerkZorg Hafsa kon niet inloggen"
"10-02-2025","DIRECTWERK","2.0","DirectWerkZorg Mail ingesteld voor Mohammed en ilham"
"25-02-2025","DIRECTWERK","2.0","Emailboxen DirectWerkZorg overgezet van vimexx naar office"
"26-02-2025","DIRECTWERK","1.0","Emailboxen DirectWerkZorg overgezet van vimexx naar office"
"27-01-2025","DIRECTWERK","8.0","Direct Werk Instellen windows Laptops"
"28-01-2025","DIRECTWERK","6.0","Direct Werk Instellen windows Laptops"
"29-07-2025","DIRECTWERK","1.0","DirectWerk scherm geinstaleerd"
"30-01-2025","DIRECTWERK","5.0","Direct Werk Instellen windows Laptops"
"01-04-2025","ELMAR","2.0",""
"01-05-2025","ELMAR","4.0",""
"01-07-2025","ELMAR","6.5",""
"01-10-2025","ELMAR","5.25",""
"01-12-2025","ELMAR","6.0","han laptop upgrade"
"02-04-2025","ELMAR","8.0",""
"02-07-2025","ELMAR","7.5",""
"02-10-2025","ELMAR","8.0",""
"02-12-2025","ELMAR","6.0",""
"03-01-2025","ELMAR","8.0",""
"03-02-2025","ELMAR","8.0",""
"03-03-2025","ELMAR","5.0","(rest)"
"03-04-2025","ELMAR","6.0",""
"03-07-2025","ELMAR","6.5",""
"03-11-2025","ELMAR","6.25",""
"03-12-2025","ELMAR","1.5",""
"04-02-2025","ELMAR","7.0",""
"04-03-2025","ELMAR","7.0","(rest)"
"04-06-2025","ELMAR","7.0",""
"04-08-2025","ELMAR","3.0",""
